GOID,ORF,Gene,ORFDesc,Known Terms,Predicted Term,Type,Nt,p80,Pinit,Pmrf,Deg,LDeg,TDeg,Etdeg,Imp
3723,YBR172C,SMY2,,f:?; p:cytoskeleton organization and biogenesis; c:?,RNA binding,f,230,0.7,0.7594,0.7594,2,2,2,2,N
16563,YBR188C,NTC20,splicing factor,f:?; c:spliceosome complex; p:mRNA splicing,transcriptional activator,f,26,0.6,0.0053802,0.88895,4,2,0,2,N
5643,YBR216C,YBR216C,,p:?; f:?; c:?,nuclear pore,c,42,0.7,0.80997,0.80997,3,3,2,2,N
8233,YBR217W,APG12,,f:?; c:membrane fraction; p:protein-vacuolar targeting; p:autophagy,peptidase,f,81,0.5,0.94802,0.99795,54,43,10,11.304,N
3723,YBR247C,ENP1,57 kDa protein with an apparent MW of 70 kDa by SDS-PAGE (putative),f:?; c:nucleus; p:cell growth and/or maintenance,RNA binding,f,230,0.7,0.99918,1,32,19,11,22.702,Y
30515,YBR247C,ENP1,57 kDa protein with an apparent MW of 70 kDa by SDS-PAGE (putative),f:?; c:nucleus; p:cell growth and/or maintenance,snoRNA binding,f,28,0.5,1,1,32,19,10,22.7815,N
3723,YBR267W,YBR267W,,p:?; f:?; c:?,RNA binding,f,230,0.7,0.2094,0.88461,3,1,1,2.5602,N
4298,YBR272C,HSM3,MutS family (putative),f:?; p:mismatch repair; c:?,threonine endopeptidase,f,30,0.2,1,1,18,13,8,10.0472,Y
4299,YBR272C,HSM3,MutS family (putative),f:?; p:mismatch repair; c:?,proteasome endopeptidase,f,30,0.2,1,1,18,13,8,10.0472,N
5524,YBR272C,HSM3,MutS family (putative),f:?; p:mismatch repair; c:?,ATP binding,f,140,0.9,0.56144,0.93195,18,13,4,6.0755,Y
5838,YBR272C,HSM3,MutS family (putative),f:?; p:mismatch repair; c:?,19S proteasome regulatory particle,c,21,0.7,1,1,18,15,9,10.0384,N
8233,YBR272C,HSM3,MutS family (putative),f:?; p:mismatch repair; c:?,peptidase,f,81,0.5,1,1,18,13,8,10.106,Y
16887,YBR272C,HSM3,MutS family (putative),f:?; p:mismatch repair; c:?,ATPase,f,135,0.9,0.57017,0.93963,18,13,4,6.081,N
30554,YBR272C,HSM3,MutS family (putative),f:?; p:mismatch repair; c:?,adenyl nucleotide binding,f,140,0.9,0.56144,0.93195,18,13,4,6.0755,Y
9056,YBR280C,YBR280C,,p:?; f:?; c:?,catabolism,p,211,0.9,0.91001,0.93278,4,3,3,3.1946,Y
30163,YBR280C,YBR280C,,p:?; f:?; c:?,protein catabolism,p,112,0.6,0.673,0.70568,4,3,2,2.1008,N
30515,YBR281C,YBR281C,,p:?; f:?; c:?,snoRNA binding,f,28,0.5,0.77254,0.97428,5,3,2,2.6754,N
6997,YCL010C,SGF29,Probable 29kKDa Subunit of SAGA histone acetyltransferase complex,p:?; c:SAGA complex; f:?,nuclear organization and biogenesis,p,187,0.9,0.9326,0.93005,5,4,4,4.0332,N
30528,YCL010C,SGF29,Probable 29kKDa Subunit of SAGA histone acetyltransferase complex,p:?; c:SAGA complex; f:?,transcription regulator,f,245,0.6,0.94594,0.95543,5,4,3,3.1786,N
3735,YCL014W,BUD3,,c:contractile ring (sensu Saccharomyces); p:bud site selection; f:?; p:axial budding,structural constituent of ribosome,f,128,0.6,0.7552,0.70824,7,5,2,2.0478,N
6313,YCL019W,YCL019W,,p:?; f:?; c:?,DNA transposition,p,13,0.9,0.96159,0.98519,4,3,2,2.1999,Y
6319,YCL019W,YCL019W,,p:?; f:?; c:?,Ty element transposition,p,12,0.5,0.99806,0.99991,4,3,2,2.5105,N
6313,YCL020W,YCL020W,,p:?; f:?; c:?,DNA transposition,p,13,0.9,0.96823,0.96823,3,3,2,2,Y
6319,YCL020W,YCL020W,,p:?; f:?; c:?,Ty element transposition,p,12,0.5,0.99891,0.99891,3,3,2,2,N
3735,YCL031C,RRP7,,p:ribosomal small subunit assembly and maintenance; f:?; p:35S primary transcript processing; c:?,structural constituent of ribosome,f,128,0.6,0.93909,0.92664,4,3,2,2,N
15935,YCL031C,RRP7,,p:ribosomal small subunit assembly and maintenance; f:?; p:35S primary transcript processing; c:?,small ribosomal subunit,c,56,0.5,0.93662,0.93136,4,3,2,2,N
3723,YCL059C,KRR1,,f:?; c:nucleolus; p:ribosome biogenesis,RNA binding,f,230,0.7,1,1,31,19,15,26.5118,Y
30515,YCL059C,KRR1,,f:?; c:nucleolus; p:ribosome biogenesis,snoRNA binding,f,28,0.5,1,1,31,19,14,25.8627,N
6270,YCR022C,YCR022C,,p:?; f:?; c:?,DNA replication initiation,p,22,0.3,0.39611,0.39611,1,1,1,1,N
171,YCR047C,BUD23,,p:bud site selection; f:?; c:?,ribonuclease MRP,f,9,0.1,0.51161,0.50525,2,1,1,1.0094,N
172,YCR047C,BUD23,,p:bud site selection; f:?; c:?,ribonuclease mitochondrial RNA processing complex,c,9,0.1,0.52854,0.52238,2,1,1,1.0106,N
6270,YCR050C,YCR050C,,p:?; f:?; c:?,DNA replication initiation,p,22,0.3,0.39611,0.39611,1,1,1,1,N
30529,YCR053W,THR4,threonine synthase,f:threonine synthase; p:threonine metabolism; c:?,ribonucleoprotein complex,c,165,0.9,0.90071,0.90071,5,5,3,3,N
3735,YCR071C,IMG2,,p:?; f:?; c:?,structural constituent of ribosome,f,128,0.6,0.97683,0.97683,2,2,2,2,N
5762,YCR071C,IMG2,,p:?; f:?; c:?,mitochondrial large ribosomal subunit,c,35,0.8,0.99339,0.99339,2,2,2,2,N
3723,YCR072C,YCR072C,,p:?; f:?; c:?,RNA binding,f,230,0.7,0.0022242,0.99814,9,2,0,5.9953,N
5524,YDL002C,NHP10,HMG1-box containing protein,p:?; f:?; c:?,ATP binding,f,140,0.9,0.70897,0.98414,15,7,4,6.9066,Y
6997,YDL002C,NHP10,HMG1-box containing protein,p:?; f:?; c:?,nuclear organization and biogenesis,p,187,0.9,0.99524,0.9999,15,9,7,9.7237,N
16887,YDL002C,NHP10,HMG1-box containing protein,p:?; f:?; c:?,ATPase,f,135,0.9,0.71875,0.98698,15,7,4,6.9298,N
30554,YDL002C,NHP10,HMG1-box containing protein,p:?; f:?; c:?,adenyl nucleotide binding,f,140,0.9,0.70897,0.98414,15,7,4,6.9066,Y
3723,YDL060W,TSR1,,f:?; c:nucleolus; p:ribosome biogenesis and assembly,RNA binding,f,230,0.7,0.0056894,0.99998,16,7,2,9.7544,Y
5667,YDL076C,RXT3,,p:?; f:?; c:?,transcription factor complex,c,91,0.4,0.98889,0.99988,11,8,4,5.4256,N
6348,YDL076C,RXT3,,p:?; f:?; c:?,chromatin silencing at telomere,p,25,0.9,0.98728,0.99888,11,9,4,4.9465,N
6997,YDL076C,RXT3,,p:?; f:?; c:?,nuclear organization and biogenesis,p,187,0.9,0.93844,0.99568,11,9,5,6.7566,Y
30528,YDL076C,RXT3,,p:?; f:?; c:?,transcription regulator,f,245,0.6,0.93792,0.98757,11,8,4,4.9591,N
6628,YDL091C,YDL091C,,p:?; f:?; c:?,mitochondrial translocation,p,20,0.4,0.53829,0.53829,1,1,1,1,N
30515,YDL166C,FAP7,,f:?; c:nucleus; p:response to oxidative stress,snoRNA binding,f,28,0.5,0.14585,0.86495,3,1,1,2.0063,N
6885,YDL193W,YDL193W,,p:?; f:?; c:endoplasmic reticulum; c:lipid particle,regulation of pH,p,21,0.2,0.56742,0.56742,8,8,2,2,N
30641,YDL193W,YDL193W,,p:?; f:?; c:endoplasmic reticulum; c:lipid particle,hydrogen ion homeostasis,p,21,0.2,0.56742,0.56742,8,8,2,2,Y
5198,YDL207W,GLE1,"nuclear pore complex subunit, nuclear-export-signal (NES)-containing protein",f:?; c:nuclear pore; p:poly(A)+ mRNA-nucleus export,structural molecule,f,224,0.9,0.99826,0.99901,7,6,5,5.3383,N
3723,YDL209C,CWC2,,f:?; c:spliceosome complex; p:mRNA splicing,RNA binding,f,230,0.7,0.36257,0.97719,6,3,2,4.1417,N
16563,YDL209C,CWC2,,f:?; c:spliceosome complex; p:mRNA splicing,transcriptional activator,f,26,0.6,0.13496,0.9978,6,3,1,3.1925,N
3723,YDL213C,YDL213C,,p:?; f:?; c:?,RNA binding,f,230,0.7,0.99856,1,57,32,16,33.973,Y
16070,YDL213C,YDL213C,,p:?; f:?; c:?,RNA metabolism,p,256,0.9,0.98118,1,57,39,15,24.6355,N
30515,YDL213C,YDL213C,,p:?; f:?; c:?,snoRNA binding,f,28,0.5,0.00020752,1,57,32,4,13.7717,N
30529,YDL213C,YDL213C,,p:?; f:?; c:?,ribonucleoprotein complex,c,165,0.9,0.0031948,0.99977,57,43,11,17.2102,N
314,YDR036C,YDR036C,,f:?; p:endocytosis; c:?,organellar small ribosomal subunit,c,24,0.3,1,1,18,18,16,16,Y
3735,YDR036C,YDR036C,,f:?; p:endocytosis; c:?,structural constituent of ribosome,f,128,0.6,1,1,18,17,16,16,N
5198,YDR036C,YDR036C,,f:?; p:endocytosis; c:?,structural molecule,f,224,0.9,1,1,18,17,16,16,Y
5763,YDR036C,YDR036C,,f:?; p:endocytosis; c:?,mitochondrial small ribosomal subunit,c,24,0.3,1,1,18,18,16,16,N
15935,YDR036C,YDR036C,,f:?; p:endocytosis; c:?,small ribosomal subunit,c,56,0.5,1,1,18,18,16,16,Y
6508,YDR049W,YDR049W,,p:?; f:?; c:?,proteolysis and peptidolysis,p,101,0.5,0.88535,0.88535,2,2,2,2,Y
19941,YDR049W,YDR049W,,p:?; f:?; c:?,protein-ligand dependent protein catabolism,p,82,0.6,0.89252,0.89252,2,2,2,2,N
30163,YDR049W,YDR049W,,p:?; f:?; c:?,protein catabolism,p,112,0.6,0.83469,0.83469,2,2,2,2,Y
3723,YDR060W,MAK21,,p:ribosomal large subunit assembly and maintenance; f:?; c:?,RNA binding,f,230,0.7,0.99997,1,30,17,12,24.0236,Y
30515,YDR060W,MAK21,,p:ribosomal large subunit assembly and maintenance; f:?; c:?,snoRNA binding,f,28,0.5,0.035476,0.99999,30,17,3,7.4916,N
8080,YDR070C,YDR070C,,p:?; f:?; c:?,N-acetyltransferase,f,8,0.3,0.31295,0.31295,2,2,1,1,N
16410,YDR070C,YDR070C,,p:?; f:?; c:?,N-acyltransferase,f,9,0.3,0.31967,0.31967,2,2,1,1,Y
16311,YDR071C,YDR071C,,p:?; f:?; c:?,dephosphorylation,p,18,0.1,0.53213,0.52864,7,5,2,2.0315,N
16788,YDR071C,YDR071C,,p:?; f:?; c:?,"hydrolase, acting on ester bonds",f,157,0.7,0.78089,0.85002,7,6,3,3.254,N
3743,YDR091C,RLI1,ATP-binding cassette (ABC) superfamily nontransporter group (putative),p:?; f:?; c:?,translation initiation factor,f,27,0.8,0.90107,0.91431,7,5,3,3.0577,N
8135,YDR091C,RLI1,ATP-binding cassette (ABC) superfamily nontransporter group (putative),p:?; f:?; c:?,"translation factor, nucleic acid binding",f,43,0.7,0.88007,0.89594,7,5,3,3.0707,Y
45182,YDR091C,RLI1,ATP-binding cassette (ABC) superfamily nontransporter group (putative),p:?; f:?; c:?,translation regulator,f,48,0.7,0.87608,0.89242,7,5,3,3.0747,Y
5478,YDR100W,YDR100W,,p:?; f:?; c:?,intracellular transporter,f,25,0.6,0.86766,1,6,4,2,4,Y
5484,YDR100W,YDR100W,,p:?; f:?; c:?,SNAP receptor,f,22,0.9,0.87222,0.99999,6,4,2,4,N
6886,YDR100W,YDR100W,,p:?; f:?; c:?,intracellular protein transport,p,253,0.8,0.4752,0.97985,6,4,2,3.8948,N
16192,YDR100W,YDR100W,,p:?; f:?; c:?,vesicle-mediated transport,p,191,0.9,0.52652,0.995,6,4,2,3.997,N
3723,YDR101C,ARX1,,p:?; f:?; c:?,RNA binding,f,230,0.7,0.0026573,0.99997,13,5,1,8.8207,N
151,YDR139C,RUB1,ubiquitin-like protein,c:?; f:protein tagging; p:RUB1-dependent protein catabolism,ubiquitin ligase complex,c,21,0.4,0.9994,1,4,3,3,3.9994,Y
152,YDR139C,RUB1,ubiquitin-like protein,c:?; f:protein tagging; p:RUB1-dependent protein catabolism,nuclear ubiquitin ligase complex,c,19,0.7,0.99928,1,4,3,3,3.9992,N
5198,YDR162C,NBP2,,p:?; f:?; c:?,structural molecule,f,224,0.9,0.052646,0.99957,28,18,4,9.5533,N
8233,YDR179C,CSN9,COP9 signalosome (CSN) subunit,p:protein deneddylation; f:?; c:signalosome complex,peptidase,f,81,0.5,0.63508,0.95917,6,3,2,2.7815,N
6886,YDR229W,YDR229W,,p:?; f:?; c:?,intracellular protein transport,p,253,0.8,0.8522,0.8893,7,5,3,3.3099,N
4129,YDR254W,CHL4,,f:?; c:kinetochore; p:chromosome segregation,cytochrome c oxidase,f,7,0.1,0.23949,0.23418,4,2,1,1.0052,N
15002,YDR254W,CHL4,,f:?; c:kinetochore; p:chromosome segregation,heme-copper terminal oxidase,f,7,0.1,0.23949,0.23418,4,2,1,1.0052,Y
16676,YDR254W,CHL4,,f:?; c:kinetochore; p:chromosome segregation,"oxidoreductase, acting on heme group of donors, oxygen as acceptor",f,7,0.1,0.23949,0.23418,4,2,1,1.0052,Y
3723,YDR269C,YDR269C,,p:?; f:?; c:?,RNA binding,f,230,0.7,0.7594,0.7594,2,2,2,2,N
3700,YDR277C,MTH1,Msn3p homolog (61,f:?; p:signal transduction; c:?; p:glucose transport,transcription factor,f,213,0.7,0.84791,0.82982,8,5,3,3.1779,Y
16563,YDR277C,MTH1,Msn3p homolog (61,f:?; p:signal transduction; c:?; p:glucose transport,transcriptional activator,f,26,0.6,0.81248,0.99649,8,5,2,3.1662,N
30528,YDR277C,MTH1,Msn3p homolog (61,f:?; p:signal transduction; c:?; p:glucose transport,transcription regulator,f,245,0.6,0.85666,0.78665,8,5,3,3.098,Y
3723,YDR299W,BFR2,,f:?; p:ER to Golgi transport; c:?,RNA binding,f,230,0.7,0.063088,0.96764,10,6,2,5,Y
30120,YDR299W,BFR2,,f:?; p:ER to Golgi transport; c:?,vesicle coat,c,19,0.9,0.96219,0.96193,10,8,3,3.0107,N
30515,YDR299W,BFR2,,f:?; p:ER to Golgi transport; c:?,snoRNA binding,f,28,0.5,0.016145,0.99889,10,6,1,4.0063,N
314,YDR333C,YDR333C,,p:?; f:?; c:?,organellar small ribosomal subunit,c,24,0.3,0.61238,0.61238,1,1,1,1,Y
5763,YDR333C,YDR333C,,p:?; f:?; c:?,mitochondrial small ribosomal subunit,c,24,0.3,0.61238,0.61238,1,1,1,1,N
8324,YDR339C,YDR339C,,p:?; f:?; c:?,cation transporter,f,50,0.6,0.60945,0.60945,2,2,2,2,N
15399,YDR339C,YDR339C,,p:?; f:?; c:?,primary active transporter,f,62,0.6,0.61428,0.61428,2,2,2,2,N
123,YDR359C,VID21,,p:?; f:?; c:?,histone acetyltransferase complex,c,41,0.5,0.87932,0.87932,4,4,2,2,N
5667,YDR359C,VID21,,p:?; f:?; c:?,transcription factor complex,c,91,0.4,0.77849,0.77849,4,4,2,2,Y
3735,YDR361C,BCP1,,p:?; f:?; c:?,structural constituent of ribosome,f,128,0.6,0.95847,0.95847,3,3,2,2,N
3723,YDR365C,YDR365C,,p:?; f:?; c:?,RNA binding,f,230,0.7,0.44047,0.99407,18,13,5,7.7731,N
8180,YDR400W,URH1,uridine nucleosidase (uridine ribohydrolase); EC 3.2.2.3,"c:?; p:pyrimidine salvage; f:hydrolase, acting on glycosyl bonds",signalosome complex,c,5,0.1,0.37036,0.36757,2,1,1,1.0409,N
16563,YDR412W,YDR412W,,p:?; f:?; c:cytoplasm,transcriptional activator,f,26,0.6,0.055446,0.71794,12,6,1,2.1045,N
3723,YDR416W,SYF1,,f:?; c:spliceosome complex; p:mRNA splicing; p:cell cycle,RNA binding,f,230,0.7,0.0032766,0.97659,13,4,1,5.904,N
16563,YDR416W,SYF1,,f:?; c:spliceosome complex; p:mRNA splicing; p:cell cycle,transcriptional activator,f,26,0.6,0.05198,1,13,4,1,6.3368,N
5484,YDR425W,SNX41,,p:?; f:?; c:?,SNAP receptor,f,22,0.9,0.0002163,0.99956,7,3,0,3.3024,N
6886,YDR425W,SNX41,,p:?; f:?; c:?,intracellular protein transport,p,253,0.8,0.078789,0.91756,7,3,1,3.3652,N
16192,YDR425W,SNX41,,p:?; f:?; c:?,vesicle-mediated transport,p,191,0.9,0.48506,0.99779,7,3,2,4.4757,N
6090,YDR430C,CYM1,Metalloprotease,p:?; f:?; c:?,pyruvate metabolism,p,9,0.3,0.99999,0.99999,6,6,5,5,N
45254,YDR430C,CYM1,Metalloprotease,p:?; f:?; c:?,pyruvate dehydrogenase complex,c,4,0.1,0.99996,0.99996,6,6,4,4,N
3723,YDR496C,PUF6,,p:?; f:?; c:?,RNA binding,f,230,0.7,0.072328,0.99965,18,13,4,9,N
16070,YDR496C,PUF6,,p:?; f:?; c:?,RNA metabolism,p,256,0.9,0.8448,0.99662,18,16,6,7.9975,N
3723,YDR505C,PSP1,,p:?; f:?; c:?,RNA binding,f,230,0.7,0.7594,0.7594,2,2,2,2,N
6886,YEL005C,VAB2,,p:?; f:protein binding; c:?,intracellular protein transport,p,253,0.8,0.52267,0.95311,6,3,2,3.5205,N
15935,YEL015W,YEL015W,,p:?; f:?; c:?,small ribosomal subunit,c,56,0.5,0.27113,0.99794,13,11,2,3.7978,N
3723,YER002W,NOP16,ribosome biogenesis,f:?; c:nucleus; c:nucleolus; p:ribosomal large subunit biogenesis,RNA binding,f,230,0.7,0.021742,0.99007,4,0,0,4,N
3723,YER006W,NUG1,Nuclear GTPase involved in Ribosome biogenesis,p:?; f:?; c:nucleus; c:nucleolus,RNA binding,f,230,0.7,0.00014773,1,33,16,4,19.4933,N
16070,YER006W,NUG1,Nuclear GTPase involved in Ribosome biogenesis,p:?; f:?; c:nucleus; c:nucleolus,RNA metabolism,p,256,0.9,0.077994,0.99761,33,23,7,11.7284,N
6280,YER041W,YEN1,,p:?; f:single-stranded DNA specific endodeoxyribonuclease; c:nucleus,mutagenesis,p,5,0.1,0.2155,0.21379,3,2,1,1.0001,N
6284,YER041W,YEN1,,p:?; f:single-stranded DNA specific endodeoxyribonuclease; c:nucleus,base-excision repair,p,5,0.1,0.19322,0.19165,3,2,1,1.0001,N
5977,YER054C,GIP2,,p:?; c:protein phosphatase type 1 complex; f:protein phosphatase regulator,glycogen metabolism,p,19,0.7,0.99363,0.99363,6,6,4,4,N
6073,YER054C,GIP2,,p:?; c:protein phosphatase type 1 complex; f:protein phosphatase regulator,glucan metabolism,p,28,0.8,0.99009,0.99009,6,6,4,4,Y
6112,YER054C,GIP2,,p:?; c:protein phosphatase type 1 complex; f:protein phosphatase regulator,energy reserve metabolism,p,23,0.7,0.99781,0.99781,6,6,4,4,Y
3723,YER126C,NSA2,ribosome biogenesis,f:?; c:nucleus; p:ribosomal large subunit biogenesis,RNA binding,f,230,0.7,0.0028126,1,19,5,2,15.0257,N
338,YER137C,YER137C,,p:?; f:?; c:?,protein deneddylation,p,5,0.1,0.47279,0.47279,1,1,1,1,N
8180,YER137C,YER137C,,p:?; f:?; c:?,signalosome complex,c,5,0.1,0.54897,0.54897,1,1,1,1,N
4749,YER163C,YER163C,,p:?; f:?; c:?,ribose-phosphate pyrophosphokinase,f,5,0.4,0.43158,0.43158,1,1,1,1,N
16778,YER163C,YER163C,,p:?; f:?; c:?,diphosphotransferase,f,6,0.4,0.4437,0.4437,1,1,1,1,Y
3689,YER173W,RAD24,cell cycle exonuclease (putative),p:DNA damage checkpoint; f:?; c:nucleus; p:nucleotide-excision repair; p:meiotic recombination,DNA clamp loader,f,6,0.8,0.9998,0.99995,14,11,4,4.2906,N
3887,YER173W,RAD24,cell cycle exonuclease (putative),p:DNA damage checkpoint; f:?; c:nucleus; p:nucleotide-excision repair; p:meiotic recombination,DNA-directed DNA polymerase,f,20,0.3,0.33923,0.3266,14,11,2,2.0105,N
4298,YFL007W,BLM3,involved in protecting the cell against bleomycin damage,p:?; f:?; c:membrane,threonine endopeptidase,f,30,0.2,0.7932,0.79139,4,3,2,2.0096,Y
4299,YFL007W,BLM3,involved in protecting the cell against bleomycin damage,p:?; f:?; c:membrane,proteasome endopeptidase,f,30,0.2,0.7932,0.79139,4,3,2,2.0096,N
6508,YFL007W,BLM3,involved in protecting the cell against bleomycin damage,p:?; f:?; c:membrane,proteolysis and peptidolysis,p,101,0.5,0.70847,0.70847,4,4,2,2,Y
8233,YFL007W,BLM3,involved in protecting the cell against bleomycin damage,p:?; f:?; c:membrane,peptidase,f,81,0.5,0.80564,0.81185,4,3,2,2.0411,Y
19941,YFL007W,BLM3,involved in protecting the cell against bleomycin damage,p:?; f:?; c:membrane,protein-ligand dependent protein catabolism,p,82,0.6,0.7086,0.7086,4,4,2,2,N
30163,YFL007W,BLM3,involved in protecting the cell against bleomycin damage,p:?; f:?; c:membrane,protein catabolism,p,112,0.6,0.6488,0.6488,4,4,2,2,Y
5857,YFR016C,YFR016C,,p:?; f:?; c:?,actin cortical patch (sensu Saccharomyces),c,31,0.9,0.96803,0.96803,5,5,3,3,N
16192,YFR016C,YFR016C,,p:?; f:?; c:?,vesicle-mediated transport,p,191,0.9,0.95447,0.95447,5,5,3,3,N
16788,YFR021W,AUT10,,f:?; c:cytosol; p:protein-vacuolar targeting; p:vacuolar protein processing/maturation; p:autophagy; p:sporulation (sensu Saccharomyces),"hydrolase, acting on ester bonds",f,157,0.7,0.73652,0.77648,8,7,3,3.1799,N
5524,YFR037C,RSC8,,f:?; c:nucleus; c:nucleosome remodeling complex; p:chromatin modeling,ATP binding,f,140,0.9,0.62953,0.98094,16,11,4,6.8664,Y
16887,YFR037C,RSC8,,f:?; c:nucleus; c:nucleosome remodeling complex; p:chromatin modeling,ATPase,f,135,0.9,0.6399,0.98415,16,11,4,6.888,N
